Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.13 is over the calibration range,FALSE,052SMPL.d,12/18/21 03:42 PM,,Sample,,3183_3_10-60,,0.081,3.3,,,0.011,5.3,1321.131,63,191.275,0.5,0.011,4.2,0.007,5.6,0.009,21.4,0.009,5.7,0.008,8.2,137.135,0.9,136.197,0.9,0.022,8.1,0.007,8.4,0.007,18.7,0.007,3.4,<0.000,N/A,0.029,1,199.043,1,0.01,8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1381.12 is over the calibration range,FALSE,053SMPL.d,12/18/21 03:47 PM,,Sample,,3183_3_50-10,,0.08,0.4,,,0.008,6.9,1381.12,7.5,29.25,0.5,0.009,13,0.006,12.8,0.004,12.1,0.007,16.3,0.007,8.7,15.794,0.3,15.716,0.3,0.009,9,0.006,16.1,0.006,31.4,0.006,13.8,<0.000,N/A,0.009,12.3,14.967,0.3,0.007,12.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1621.37 is over the calibration range,FALSE,054SMPL.d,12/18/21 03:52 PM,,Sample,,3183_3_50-30,,0.079,3.4,,,0.009,6.7,1621.375,48.4,125.929,0.5,0.01,14.9,0.005,16.5,0.006,28.6,0.006,20.3,0.005,26.7,96.65,0.9,96.244,1.3,0.016,15.9,0.005,13.3,0.006,20.1,0.006,12.8,<0.000,N/A,0.02,4.2,116.694,0.5,0.007,14.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 2101.82 is over the calibration range,FALSE,055SMPL.d,12/18/21 03:57 PM,,Sample,,0456_1_10-30,,0.071,3.5,,,0.005,8.7,2101.824,35.7,48.978,0.9,0.004,5.2,0.002,14.9,0.003,33.1,0.003,5.7,0.002,21.2,27.615,1.1,27.309,0.6,0.007,19.8,0.002,6.4,0.002,15.3,0.002,8.3,<0.000,N/A,0.006,4.6,39.528,0.4,0.002,13.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1020.89 is over the calibration range,FALSE,056SMPL.d,12/18/21 04:02 PM,,Sample,,0456_1_10-60,,0.068,5.9,,,0.004,13.2,1020.888,97.2,197.335,0.9,0.004,3,0,32.8,0.001,65.5,0.001,13.5,0,34.6,147.751,0.7,147.343,1,0.016,4.3,0,54.1,0,37.8,0,57.3,<0.000,N/A,0.023,0.8,208.642,0.4,0.002,4.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.13 is over the calibration range,FALSE,057SMPL.d,12/18/21 04:07 PM,,Sample,,0456_1_50-10,,0.072,4.4,,,0.003,12.6,1321.131,28.4,32.055,0.4,0.003,2.6,0,18.8,0,114.6,0.001,37.6,0,34.6,18.793,0.5,19.535,0.8,0.003,3.6,0,13.3,0,21.7,0,57.3,<0.000,N/A,0.003,10.8,18.686,0.4,0,31.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,058SMPL.d,12/18/21 04:12 PM,,Sample,,0456_1_50-30,,0.069,2,,,0.004,9.1,720.584,50,126.388,0.5,0.005,2.4,0,17,0.002,99,0.001,16.9,0,21.7,100.78,0.8,99.547,1.2,0.011,2.4,0,69.3,0,35.3,0,14.3,<0.000,N/A,0.015,4,120.828,0.6,0.001,11.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,059SMPL.d,12/18/21 04:17 PM,,Sample,,cal check 100,,88.171,0.3,,,88.184,0.8,660.536,103.3,91.19,0.3,91.898,1.1,91.679,1.3,93.622,0.5,94.051,0.5,95.542,0.4,91.532,0.3,91.846,0.3,95.191,1.2,91.791,0.3,95.146,0.8,92.371,1.6,94.004,0.2,92.755,0.7,95.22,0.9,93.325,0.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,060SMPL.d,12/18/21 04:22 PM,,Sample,,blank,,0.191,3.5,,,0.001,7.7,840.682,24.7,0.002,13.7,0.002,13,0.001,6.3,0.001,69.3,0.001,19.9,0.001,20.1,0.002,10.4,0.002,30,0.001,16.9,0.001,11.7,0.001,24.1,0.001,7.1,<0.000,N/A,0.001,16.9,0.001,35.2,0.001,5.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1020.83 is over the calibration range,FALSE,061SMPL.d,12/18/21 04:27 PM,,Sample,,0456_2_10-30,,0.088,2,,,0.002,2.1,1020.828,36.7,48.35,0.9,0.002,15.1,0,27.4,0.001,50,0.001,13.1,0,24.7,26.779,0.3,26.802,1.2,0.004,17.5,0,18.9,0.001,55.1,0,29.6,<0.000,N/A,0.004,6.9,40.848,0.1,0.001,12.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.07 is over the calibration range,FALSE,062SMPL.d,12/18/21 04:32 PM,,Sample,,0456_2_10-60,,0.073,2.4,,,0.004,1.5,1321.071,20.8,198.034,0.6,0.004,4.6,0.001,21,0.001,25,0.001,40.1,0,96.4,146.178,0.7,146.052,1.1,0.018,6.3,0,25.8,0.001,36.1,0,14.2,<0.000,N/A,0.022,0.6,211.396,1,0.002,12.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,063SMPL.d,12/18/21 04:37 PM,,Sample,,0456_2_50-10,,0.074,1.4,,,0.004,1.1,1200.974,37.7,31.197,0.9,0.003,4.8,0.001,21.2,0.001,107.9,0.001,48,0,43.3,18.081,0.6,18.01,1,0.003,4.7,0,6.7,0.001,41.7,0,27,<0.000,N/A,0.003,10.3,18.316,0.5,0,14.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.07 is over the calibration range,FALSE,064SMPL.d,12/18/21 04:42 PM,,Sample,,0456_2_50-30,,0.073,1,,,0.004,8.6,1321.071,28.4,128.221,0.4,0.005,6.1,0,11.2,0.001,21.7,0.002,8.3,0.001,81.1,104.976,1,104.466,0.4,0.011,6.3,0,21.7,0,56.7,0,18.2,<0.000,N/A,0.016,0.7,126.377,0.2,0.001,7.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1140.93 is over the calibration range,FALSE,065SMPL.d,12/18/21 04:47 PM,,Sample,,0456_3_10-30,,0.066,2.3,,,0.004,6.6,1140.925,39.7,55.187,0.7,0.002,3.4,0,26.1,0.001,41.7,0.001,60.9,0,21.7,31.593,1.5,31.502,0.5,0.005,14.2,0,27,0,27,0,15.7,<0.000,N/A,0.005,4.8,49.467,1,0.001,8.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1501.22 is over the calibration range,FALSE,066SMPL.d,12/18/21 04:52 PM,,Sample,,0456_3_10-60,,0.07,2.6,,,0.002,0.7,1501.217,30.2,206.377,0.3,0.004,8.7,0,29.3,0,43.3,0.001,50.9,0,45.8,157.682,0.9,156.379,0.3,0.017,2.6,0,0,0,114.6,0,36.7,<0.000,0,0.024,4.7,223.417,0.4,0.002,3.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1080.88 is over the calibration range,FALSE,067SMPL.d,12/18/21 04:57 PM,,Sample,,0456_3_50-10,,0.076,2.5,,,0.002,12.6,1080.876,16.7,32.107,1.4,0.003,10.9,0,29.9,0.001,137.8,0.001,43.7,0,56.8,19.373,0.3,20.249,1.5,0.003,10.2,0,40,0,50,0,57.3,<0.000,N/A,0.003,5.1,19.845,0.4,0,49.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,068SMPL.d,12/18/21 05:02 PM,,Sample,,0456_3_50-30,,0.076,1.2,,,0.002,3.9,900.73,20,128.653,0.4,0.005,5.6,0,19.2,0,100,0.001,8.7,0,100,103.984,0.9,103.371,0.7,0.011,9.9,0,45.8,0,66.7,0,55.5,<0.000,N/A,0.016,4.6,126.452,0.3,0.001,12.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1921.62 is over the calibration range,FALSE,069SMPL.d,12/18/21 05:07 PM,,Sample,,0608_1_10-30,,0.07,3.6,,,0.002,11,1921.618,35.5,57.415,0.5,0.002,21.2,0,46.3,0.001,65.5,0.001,48.2,0,66.7,34.037,0.8,34.18,0.8,0.005,4.7,0,75.5,0,55.5,0,49.5,<0.000,N/A,0.005,3.1,53.554,1.6,0,23.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,070SMPL.d,12/18/21 05:12 PM,,Sample,,0608_1_10-60,,0.069,1.5,,,0.003,5.1,840.682,86.6,196.272,0.6,0.004,7.7,0,24.7,0.001,33.3,0.001,26.6,0,57.7,147.732,0.6,145.928,0.9,0.016,3.2,0,88.2,0,86.6,0,26.6,<0.000,N/A,0.023,3.7,213.362,0.4,0.002,6.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1561.27 is over the calibration range,FALSE,071SMPL.d,12/18/21 05:17 PM,,Sample,,cal check 10 #2,,8.303,0.6,,,8.748,0.4,1561.266,6.7,9.006,0.3,9.033,0,9.058,0.1,9.061,1,9.071,0.8,8.994,0.6,9.034,0.3,9.022,0.7,8.999,0.1,9.081,0.2,9.126,0.1,9.126,0.3,8.462,0.4,9.224,0.1,9.096,0.4,9.215,0.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1140.93 is over the calibration range,FALSE,072SMPL.d,12/18/21 05:22 PM,,Sample,,blank,,0.141,5.1,,,0.001,12,1140.925,32.9,0.002,26,0.001,22.1,0,20,0,N/A,0,57.7,0,68.6,0.001,13.5,0.001,51.5,0,0,0,7.5,0,60.3,0,3.1,<0.000,N/A,0,36.5,0.002,26.5,0,9.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1501.22 is over the calibration range,FALSE,073SMPL.d,12/18/21 05:27 PM,,Sample,,0608_1_50-10,,0.074,1.7,,,0.004,6.9,1501.217,18.3,36.891,1,0.003,2.3,0,37.5,0.001,94.4,0.001,26.6,0,34.6,24.054,0.8,23.902,2.4,0.004,9.6,0,57.1,0,68.6,0,57.7,<0.000,N/A,0.003,11.5,22.016,0.3,0,8.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,074SMPL.d,12/18/21 05:32 PM,,Sample,,0608_1_50-30,,0.073,2.4,,,0.004,5.3,1261.023,24.7,135.011,0.4,0.005,10.5,0,49.7,0.001,65.5,0.001,22,0,21.7,113.843,0.6,113.258,0.8,0.011,1.4,0,43.3,0.001,37.7,0,12.5,<0.000,N/A,0.017,1.6,134.109,0.6,0.001,8.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1140.93 is over the calibration range,FALSE,075SMPL.d,12/18/21 05:37 PM,,Sample,,0608_2_10-30,,0.067,1.3,,,0.004,8,1140.925,32.9,73.088,0.9,0.003,4.2,0,6,0.001,34.6,0.001,13.1,0,45.8,45.999,0.6,46.042,1.2,0.006,13.4,0,7.5,0.001,31.9,0,50,<0.000,N/A,0.007,2.7,71.29,0.5,0.001,12.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1561.27 is over the calibration range,FALSE,076SMPL.d,12/18/21 05:42 PM,,Sample,,0608_2_10-60,,0.064,2.5,,,0.005,6.9,1561.266,13.3,213.764,0.4,0.006,4.9,0.001,11.6,0.002,44.6,0.002,9.1,0.001,17.6,169.315,0.1,169.406,1.3,0.018,10.7,0.001,6.9,0.001,2.8,0.001,5.5,<0.000,N/A,0.026,2.2,246.267,1,0.003,5.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,077SMPL.d,12/18/21 05:47 PM,,Sample,,0608_2_50-10,,0.068,3.5,,,0.004,4.4,900.73,34.6,38.597,0.2,0.003,7.1,0,13.6,0.001,86.6,0.001,26.5,0,107.9,25.292,0.3,25.342,0.7,0.003,29.1,0,34.6,0,60.6,0,32.8,<0.000,N/A,0.004,4.4,23.627,0.4,0,43.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,078SMPL.d,12/18/21 05:52 PM,,Sample,,0608_2_50-30,,0.069,1.9,,,0.005,3.6,900.73,52.9,130.026,0.2,0.006,2.9,0.001,24.5,0.001,43.3,0.002,18.2,0.001,48.2,102.956,0.8,102.949,1.1,0.012,7.3,0,29,0.001,17.6,0,43.2,<0.000,N/A,0.016,4.2,125.69,0.3,0.001,23.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1681.42 is over the calibration range,FALSE,079SMPL.d,12/18/21 05:57 PM,,Sample,,0608_3_10-30,,0.061,1.4,,,0.003,6.5,1681.423,34.4,69.438,1.2,0.002,12.7,0,14.4,0.001,89.2,0.001,10,0,78.1,44.464,0.9,44.252,0.7,0.007,14.7,0,31.5,0,53.9,0,43.3,<0.000,0,0.007,2.7,63.675,0.7,0.001,10.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1381.12 is over the calibration range,FALSE,080SMPL.d,12/18/21 06:03 PM,,Sample,,0608_3_10-60,,0.06,3.4,,,0.004,2.7,1381.12,19.9,213.349,0.9,0.005,8.5,0,15.6,0.001,78.1,0.001,34.6,0.001,58.1,167.748,1.1,167.597,1.2,0.017,5.5,0,93.3,0,83.3,0,35.3,<0.000,N/A,0.026,1.9,231.992,0.3,0.002,2.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1501.28 is over the calibration range,FALSE,081SMPL.d,12/18/21 06:08 PM,,Sample,,0608_3_50-10,,0.066,1.9,,,0.003,4.7,1501.277,73.3,38.263,0.8,0.003,13.1,0,30.7,0.002,35.3,0.001,13.5,0,33.3,25.872,1.2,26.019,1,0.003,8.8,0,0,0,21.7,0,28.9,<0.000,N/A,0.004,2.5,24.85,0.2,0,35.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1501.22 is over the calibration range,FALSE,082SMPL.d,12/18/21 06:13 PM,,Sample,,0608_3_50-30,,0.066,4.1,,,0.005,5.3,1501.217,18.3,138.642,0.8,0.006,5.1,0.001,29.2,0.002,20,0.003,34,0.001,28.6,121.727,0.6,121.286,0.6,0.012,9.2,0.001,35.1,0.001,49.5,0.001,25,<0.000,N/A,0.02,4.7,144.272,1.1,0.002,12.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,083SMPL.d,12/18/21 06:18 PM,,Sample,,cal check 25 #2,,20.86,0.2,,,22.547,0.5,780.633,58.1,23.202,1.4,23.313,0.7,23.457,0.9,22.425,1,22.486,0.2,22.349,0.2,23.626,0.4,23.273,0.3,22.403,0.3,23.604,1.7,22.642,0.5,23.899,0.2,22.144,0.5,23.76,1.7,22.605,0.1,23.974,0.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,084SMPL.d,12/18/21 06:23 PM,,Sample,,blank,,0.153,2.2,,,0.002,5.9,1200.974,37.7,0.009,17.5,0.003,19.8,0.002,14,0.002,20,0.002,8.2,0.001,4.9,0.007,17.1,0.007,18.3,0.002,33.5,0.002,16.9,0.002,14.8,0.002,6.8,<0.000,N/A,0.002,15.6,0.008,23,0.002,18.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 2702.37 is over the calibration range,FALSE,085SMPL.d,12/18/21 06:28 PM,,Sample,,check4_10-30,,0.074,2,,,0.005,8.2,2702.371,6.7,162.27,0.3,0.007,4.1,0.002,10.5,0.004,20,0.003,19.6,0.002,28.9,182.406,0.7,182.131,0.3,0.015,9.2,0.002,7.4,0.002,12.2,0.002,11.6,<0.000,N/A,0.03,1.4,218.169,0.2,0.004,3.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,086SMPL.d,12/18/21 06:33 PM,,Sample,,check4_10-60,,0.069,2,,,0.007,12.4,1261.023,37.8,328.608,1,0.007,6.2,0.002,10.7,0.003,22.2,0.003,4.2,0.003,33.3,369.646,0.8,366.966,0.1,0.03,7.5,0.002,28.1,0.002,31.5,0.002,11.1,<0.000,N/A,0.059,2.3,437.379,0.5,0.006,11.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1381.12 is over the calibration range,FALSE,087SMPL.d,12/18/21 06:38 PM,,Sample,,check4_50-10,,0.068,4.3,,,0.005,4.2,1381.12,7.5,54.296,1,0.005,3.7,0.002,8.4,0.003,7.5,0.002,37.6,0.002,13.3,62.057,0.3,61.482,1.5,0.006,9.5,0.002,2.7,0.002,12.4,0.002,11.2,<0.000,N/A,0.011,5.5,74.476,0.4,0.002,10.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,088SMPL.d,12/18/21 06:43 PM,,Sample,,check4_50-30,,0.069,1.7,,,0.005,10.1,960.779,39,161.346,0.4,0.006,9.9,0.002,9.1,0.003,36.7,0.003,20.3,0.002,27.6,181.339,0.8,179.936,1.1,0.014,6.9,0.001,28.3,0.002,35.3,0.002,16.8,<0.000,N/A,0.03,4.2,219.029,0.9,0.004,7.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1201.03 is over the calibration range,FALSE,089SMPL.d,12/18/21 06:48 PM,,Sample,,3988_1_10-30,,0.068,2.4,,,0.003,28.1,1201.034,70.9,44.163,1.2,0.003,13.5,0.002,22,0.003,21.7,0.002,30,0.002,37.1,23.984,1.5,24.088,1,0.005,3.9,0.002,35,0.002,25.2,0.002,25.9,<0.000,N/A,0.005,8.4,36.903,0.5,0.002,33,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1621.37 is over the calibration range,FALSE,090SMPL.d,12/18/21 06:53 PM,,Sample,,3988_1_10-60,,0.065,4.1,,,0.004,12.9,1621.375,40.1,191.994,0.1,0.006,14.7,0.002,23.7,0.003,19.9,0.002,42.5,0.002,36.3,145.11,0.8,144.024,0.9,0.017,1,0.002,34.2,0.002,33.1,0.002,40.1,<0.000,N/A,0.024,6.1,208.683,0.5,0.004,13.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1501.28 is over the calibration range,FALSE,091SMPL.d,12/18/21 06:58 PM,,Sample,,3988_1_50-10,,0.072,4.5,,,0.003,7.2,1501.277,6.9,28.148,0.5,0.004,11.8,0.003,14.3,0.002,75.8,0.003,7.2,0.002,20.3,15.621,0.2,15.612,0.2,0.005,27.1,0.002,16.3,0.002,16.9,0.002,16,<0.000,N/A,0.005,9.4,15.792,0.3,0.002,19.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,092SMPL.d,12/18/21 07:03 PM,,Sample,,3988_1_50-30,,0.073,1.8,,,0.005,9.6,1261.023,37.8,117.5,0.3,0.007,11.4,0.003,19.6,0.003,72.9,0.004,26.3,0.003,27.4,91.173,1.1,89.705,0.3,0.014,4.3,0.003,15.2,0.003,22.5,0.002,17.3,<0.000,N/A,0.017,1.9,112.071,1.1,0.004,4.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1861.57 is over the calibration range,FALSE,093SMPL.d,12/18/21 07:08 PM,,Sample,,3988_2_10-30,,0.069,2.3,,,0.005,1.6,1861.569,14.8,42.62,0.5,0.005,10.8,0.003,6.5,0.003,45.1,0.003,15.6,0.003,2.4,23.152,0.5,23.217,0.4,0.007,12.6,0.003,10.5,0.004,8.3,0.003,12.6,<0.000,N/A,0.007,5.8,36.295,0.3,0.004,8.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,094SMPL.d,12/18/21 07:13 PM,,Sample,,3988_2_10-60,,0.065,2.1,,,0.008,4.6,1261.023,24.7,187.158,0.4,0.008,6.6,0.004,4.2,0.004,16.4,0.006,9.4,0.004,24.1,139.781,0.4,138.641,1.8,0.018,9.3,0.004,6.8,0.004,10.9,0.004,3.3,<0.000,N/A,0.025,3.8,203.584,0.6,0.006,6.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1020.83 is over the calibration range,FALSE,095SMPL.d,12/18/21 07:18 PM,,Sample,,cal check 50 #2,,44.022,1,,,44.722,0.5,1020.828,44.4,46.031,0.8,46.266,0.5,45.367,0.5,47.064,0.4,45.108,0.3,44.868,0.3,46.527,0.9,46.375,1.4,45.045,0.1,46.08,1.5,47.209,0.3,45.749,0,47.235,0.1,46.586,0.3,47.578,0.5,46.519,0.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1741.47 is over the calibration range,FALSE,096SMPL.d,12/18/21 07:23 PM,,Sample,,blank,,0.176,0.8,,,0.004,12.9,1741.472,31.6,0.027,9.8,0.005,15.1,0.004,12.2,0.006,10.8,0.004,14.7,0.004,6.3,0.022,16.9,0.022,12.1,0.004,21.7,0.004,5.8,0.004,27.8,0.004,12.3,<0.000,N/A,0.004,14.5,0.025,8.1,0.005,14,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1561.27 is over the calibration range,FALSE,097SMPL.d,12/18/21 07:28 PM,,Sample,,3988_2_50-10,,0.082,4.8,,,0.007,9.7,1561.266,24,34.116,0.1,0.007,10.2,0.004,2.9,0.004,35.6,0.005,18.7,0.004,10.4,20.61,2.8,21.066,0.1,0.007,22.7,0.004,13.5,0.004,4.4,0.004,7.5,<0.000,N/A,0.007,1.9,19.371,0.6,0.004,9.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1501.22 is over the calibration range,FALSE,098SMPL.d,12/18/21 07:33 PM,,Sample,,3988_2_50-30,,0.08,1.6,,,0.005,12.5,1501.217,18.3,123.534,0.8,0.008,4.4,0.003,10.6,0.004,39,0.004,18.2,0.004,7.9,97.947,0.4,96.985,0.8,0.015,6.3,0.003,12.3,0.003,10.1,0.004,10.3,<0.000,N/A,0.018,1.8,118.841,1.7,0.005,11,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1561.33 is over the calibration range,FALSE,099SMPL.d,12/18/21 07:38 PM,,Sample,,3988_3_10-30,,0.071,2.8,,,0.005,10.9,1561.326,33.3,46.462,0.8,0.005,15.7,0.004,13.2,0.005,33.5,0.004,40.2,0.004,11.5,25.349,0.3,25.278,1.2,0.008,16.5,0.004,10.7,0.003,17,0.003,16.6,<0.000,N/A,0.007,7.3,39.896,0.4,0.004,13.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1441.23 is over the calibration range,FALSE,100SMPL.d,12/18/21 07:43 PM,,Sample,,3988_3_10-60,,0.07,3.3,,,0.005,10,1441.229,21.7,193.423,0.3,0.007,6.8,0.004,18.1,0.004,9.1,0.005,8.3,0.004,11.5,144.298,0.7,142.691,0.6,0.018,8.5,0.004,18,0.003,17.1,0.003,14.7,<0.000,N/A,0.027,4.1,213.04,0.9,0.005,5.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,101SMPL.d,12/18/21 07:48 PM,,Sample,,3988_3_50-10,,0.07,1.2,,,0.006,13,960.779,39,29.782,0.9,0.006,7,0.004,15.1,0.005,30.5,0.004,27.8,0.003,11.7,16.762,0.7,16.668,0.7,0.006,23.5,0.003,21.9,0.004,28.3,0.003,21.2,<0.000,N/A,0.006,12.9,16.162,0.2,0.004,20.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1981.73 is over the calibration range,FALSE,102SMPL.d,12/18/21 07:53 PM,,Sample,,3988_3_50-30,,0.066,3.8,,,0.004,1.9,1981.727,59.6,118.183,0.4,0.005,5.3,0.001,7.5,0.002,20,0.001,15.2,0.001,35.3,90.832,0.8,89.457,0.1,0.011,4.7,0,50,0,28.6,0,30.2,<0.000,N/A,0.014,2,111.193,0.6,0.001,14.4,,
