Strain,Label,Condition,Condition Order,Strain Order,Group,La Rel Mean,La Rel SD,La p-value,La Significance,Eu Rel Mean,Eu Rel SD,Eu p-value,Eu Significance,Yb Rel Mean,Yb Rel SD,Yb p-value,Yb Significance,Significant Relative Change,Max Change
δmshL,{\it \delta mshL} HL,HL,3,9,MSHA,0.0035,0.0052,4.4133E-01,,-0.0102,0.0017,1.4494E-02,*,0.0071,0.0007,4.2274E-03,**,Y,0.0102
δmshJ,{\it \delta mshJ} HH,HH,4,10,MSHA,0.0620,0.0707,3.4066E-01,,-0.0161,0.0150,2.6981E-01,,-0.0063,0.0105,4.8444E-01,,N,0.0620
δmshJ,{\it \delta mshJ} LL,LL,1,10,MSHA,-0.0045,0.0013,4.1424E-02,*,0.0056,0.0024,7.9422E-02,,-0.0023,0.0014,1.4594E-01,,Y,0.0056
δmshJ,{\it \delta mshJ} LH,LH,2,10,MSHA,-0.0096,0.0090,2.7159E-01,,0.0231,0.0049,2.1891E-02,*,-0.0196,0.0008,8.0200E-04,***,Y,0.0231
δmshJ,{\it \delta mshJ} HL,HL,3,10,MSHA,0.0251,0.0165,1.6399E-01,,0.0038,0.0016,8.1447E-02,,-0.0128,0.0060,9.4650E-02,,N,0.0251
δmshD,{\it \delta mshD} HH,HH,4,5,MSHA,-0.0130,0.0076,1.3707E-01,,0.0141,0.0007,1.0967E-03,**,-0.0075,0.0038,1.0687E-01,,Y,0.0141
δmshD,{\it \delta mshD} LL,LL,1,5,MSHA,0.0024,0.0043,5.1792E-01,,0.0008,0.0022,6.6978E-01,,-0.0026,0.0036,4.1974E-01,,N,0.0026
δmshD,{\it \delta mshD} LH,LH,2,5,MSHA,0.0046,0.0153,7.1369E-01,,-0.0142,0.0005,6.7002E-04,***,0.0129,0.0111,2.4101E-01,,Y,0.0142
δmshD,{\it \delta mshD} HL,HL,3,5,MSHA,0.0080,0.0111,4.1634E-01,,-0.0073,0.0024,5.1712E-02,,0.0028,0.0035,3.8146E-01,,N,0.0080
δmshC,{\it \delta mshC} HH,HH,4,6,MSHA,-0.0119,0.0176,4.4001E-01,,0.0195,0.0093,9.7353E-02,,-0.0133,0.0011,3.3524E-03,**,Y,0.0195
δmshC,{\it \delta mshC} LL,LL,1,6,MSHA,0.0014,0.0034,6.1645E-01,,-0.0001,0.0033,9.5968E-01,,-0.0009,0.0054,8.2751E-01,,N,0.0014
δmshC,{\it \delta mshC} LH,LH,2,6,MSHA,-0.0013,0.0053,7.6310E-01,,-0.0099,0.0081,2.2788E-01,,0.0121,0.0097,2.1891E-01,,N,0.0121
