Well,Wavelength (nm),Absorbance,Data Point Number,Well Number
"(3, 3)",610,0.2714,202,19
"(3, 3)",620,0.2364,203,19
"(3, 3)",630,0.2088,204,19
"(3, 3)",640,0.2158,205,19
"(3, 3)",650,0.2491,206,19
"(3, 3)",660,0.2447,207,19
"(3, 3)",670,0.1756,208,19
"(3, 3)",680,0.1027,209,19
"(4, 3)",580,0.2835,210,20
"(4, 3)",590,0.2233,211,20
"(4, 3)",600,0.1754,212,20
"(4, 3)",610,0.1425,213,20
"(4, 3)",620,0.1192,214,20
"(4, 3)",630,0.1054,215,20
"(4, 3)",640,0.1027,216,20
"(4, 3)",650,0.1063,217,20
"(4, 3)",660,0.0959,218,20
"(4, 3)",670,0.0654,219,20
"(4, 3)",680,0.0371,220,20
"(5, 3)",580,0.2847,221,21
"(5, 3)",590,0.2745,222,21
"(5, 3)",600,0.2781,223,21
"(5, 3)",610,0.2712,224,21
"(5, 3)",620,0.2361,225,21
"(5, 3)",630,0.2083,226,21
"(5, 3)",640,0.2149,227,21
"(5, 3)",650,0.2488,228,21
"(5, 3)",660,0.2445,229,21
"(5, 3)",670,0.1759,230,21
"(5, 3)",680,0.103,231,21
"(6, 3)",580,0.2862,232,22
"(6, 3)",590,0.219,233,22
"(6, 3)",600,0.1655,234,22
"(6, 3)",610,0.1301,235,22
"(6, 3)",620,0.1079,236,22
"(6, 3)",630,0.0935,237,22
"(6, 3)",640,0.089,238,22
"(6, 3)",650,0.088,239,22
"(6, 3)",660,0.077,240,22
"(6, 3)",670,0.0523,241,22
"(6, 3)",680,0.0301,242,22
"(7, 3)",580,0.2745,243,23
"(7, 3)",590,0.2667,244,23
"(7, 3)",600,0.2739,245,23
"(7, 3)",610,0.2689,246,23
"(7, 3)",620,0.234,247,23
"(7, 3)",630,0.2057,248,23
"(7, 3)",640,0.2112,249,23
"(7, 3)",650,0.2442,250,23
"(7, 3)",660,0.2411,251,23
"(7, 3)",670,0.1746,252,23
"(7, 3)",680,0.1028,253,23
"(8, 3)",580,0.2837,254,24
"(8, 3)",590,0.2223,255,24
"(8, 3)",600,0.1742,256,24
"(8, 3)",610,0.1413,257,24
"(8, 3)",620,0.1179,258,24
"(8, 3)",630,0.1037,259,24
"(8, 3)",640,0.1011,260,24
"(8, 3)",650,0.1046,261,24
"(8, 3)",660,0.0942,262,24
"(8, 3)",670,0.0644,263,24
"(8, 3)",680,0.0365,264,24
"(1, 4)",580,0.2813,265,25
"(1, 4)",590,0.2184,266,25
"(1, 4)",600,0.1683,267,25
"(1, 4)",610,0.1348,268,25
"(1, 4)",620,0.1121,269,25
"(1, 4)",630,0.0985,270,25
"(1, 4)",640,0.0951,271,25
"(1, 4)",650,0.0962,272,25
"(1, 4)",660,0.0853,273,25
"(1, 4)",670,0.0584,274,25
"(1, 4)",680,0.0337,275,25
"(2, 4)",580,0.285,276,26
"(2, 4)",590,0.2724,277,26
"(2, 4)",600,0.2744,278,26
"(2, 4)",610,0.2661,279,26
"(2, 4)",620,0.2313,280,26
"(2, 4)",630,0.2051,281,26
"(2, 4)",640,0.212,282,26
"(2, 4)",650,0.245,283,26
"(2, 4)",660,0.2404,284,26
"(2, 4)",670,0.1721,285,26
"(2, 4)",680,0.1003,286,26
"(3, 4)",580,0.2857,287,27
"(3, 4)",590,0.225,288,27
"(3, 4)",600,0.1771,289,27
"(3, 4)",610,0.1443,290,27
"(3, 4)",620,0.1206,291,27
"(3, 4)",630,0.1062,292,27
"(3, 4)",640,0.1043,293,27
"(3, 4)",650,0.1083,294,27
"(3, 4)",660,0.0978,295,27
"(3, 4)",670,0.0667,296,27
"(3, 4)",680,0.0382,297,27
"(4, 4)",580,0.2843,298,28
"(4, 4)",590,0.2742,299,28
"(4, 4)",600,0.2782,300,28
"(4, 4)",610,0.2712,301,28
"(4, 4)",620,0.2363,302,28
"(4, 4)",630,0.2087,303,28
"(4, 4)",640,0.2152,304,28
"(4, 4)",650,0.2486,305,28
"(4, 4)",660,0.2443,306,28
"(4, 4)",670,0.1755,307,28
"(4, 4)",680,0.1029,308,28
"(5, 4)",580,0.2855,309,29
"(5, 4)",590,0.2182,310,29
"(5, 4)",600,0.1646,311,29
"(5, 4)",610,0.1287,312,29
"(5, 4)",620,0.1063,313,29
"(5, 4)",630,0.0924,314,29
"(5, 4)",640,0.0878,315,29
"(5, 4)",650,0.0866,316,29
"(5, 4)",660,0.0756,317,29
"(5, 4)",670,0.0513,318,29
"(5, 4)",680,0.0294,319,29
"(6, 4)",580,0.2841,320,30
"(6, 4)",590,0.2741,321,30
"(6, 4)",600,0.2792,322,30
"(6, 4)",610,0.2721,323,30
"(6, 4)",620,0.2375,324,30
"(6, 4)",630,0.2092,325,30
"(6, 4)",640,0.2154,326,30
"(6, 4)",650,0.2494,327,30
"(6, 4)",660,0.2455,328,30
"(6, 4)",670,0.1769,329,30
"(6, 4)",680,0.1038,330,30
"(7, 4)",580,0.2828,331,31
"(7, 4)",590,0.2136,332,31
"(7, 4)",600,0.1576,333,31
"(7, 4)",610,0.1216,334,31
"(7, 4)",620,0.0994,335,31
"(7, 4)",630,0.0862,336,31
"(7, 4)",640,0.08,337,31
"(7, 4)",650,0.0771,338,31
"(7, 4)",660,0.0659,339,31
"(7, 4)",670,0.0444,340,31
"(7, 4)",680,0.0258,341,31
"(8, 4)",580,0.2852,342,32
"(8, 4)",590,0.274,343,32
"(8, 4)",600,0.2769,344,32
"(8, 4)",610,0.2698,345,32
"(8, 4)",620,0.2344,346,32
"(8, 4)",630,0.2071,347,32
"(8, 4)",640,0.2138,348,32
"(8, 4)",650,0.2471,349,32
"(8, 4)",660,0.2434,350,32
"(8, 4)",670,0.175,351,32
"(8, 4)",680,0.1023,352,32
"(1, 5)",580,0.2853,353,33
"(1, 5)",590,0.2752,354,33
"(1, 5)",600,0.2793,355,33
"(1, 5)",610,0.272,356,33
"(1, 5)",620,0.2369,357,33
"(1, 5)",630,0.2097,358,33
"(1, 5)",640,0.2161,359,33
"(1, 5)",650,0.2497,360,33
"(1, 5)",660,0.2453,361,33
"(1, 5)",670,0.1761,362,33
"(1, 5)",680,0.1033,363,33
"(2, 5)",580,0.2833,364,34
"(2, 5)",590,0.2254,365,34
"(2, 5)",600,0.1805,366,34
"(2, 5)",610,0.1489,367,34
"(2, 5)",620,0.125,368,34
"(2, 5)",630,0.1106,369,34
"(2, 5)",640,0.1095,370,34
"(2, 5)",650,0.1155,371,34
"(2, 5)",660,0.1052,372,34
"(2, 5)",670,0.0719,373,34
"(2, 5)",680,0.0407,374,34
"(3, 5)",580,0.285,375,35
"(3, 5)",590,0.2738,376,35
"(3, 5)",600,0.2774,377,35
"(3, 5)",610,0.2697,378,35
"(3, 5)",620,0.2347,379,35
"(3, 5)",630,0.2076,380,35
"(3, 5)",640,0.2142,381,35
"(3, 5)",650,0.2477,382,35
"(3, 5)",660,0.2431,383,35
"(3, 5)",670,0.1747,384,35
"(3, 5)",680,0.1022,385,35
"(4, 5)",580,0.2853,386,36
"(4, 5)",590,0.2153,387,36
"(4, 5)",600,0.1587,388,36
"(4, 5)",610,0.1218,389,36
"(4, 5)",620,0.1,390,36
"(4, 5)",630,0.0863,391,36
"(4, 5)",640,0.0802,392,36
"(4, 5)",650,0.0768,393,36
"(4, 5)",660,0.0654,394,36
"(4, 5)",670,0.044,395,36
"(4, 5)",680,0.0256,396,36
"(5, 5)",580,0.2862,397,37
"(5, 5)",590,0.2751,398,37
"(5, 5)",600,0.2792,399,37
"(5, 5)",610,0.2718,400,37
"(5, 5)",620,0.2362,401,37
"(5, 5)",630,0.209,402,37
